epoch,model_name,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_fall_recall,val_fall_f1,val_specificity,val_tn,val_fp,val_fn,val_tp
1,convlstm,0.0001,0.45318980783582213,0.7617849440279347,0.30697889281986546,0.8662763095426491,0.8624643340167674,0.9247176913425345,0.8395671160053161,0.8307026476578412,3263,665,180,2211
2,convlstm,0.0001,0.25052384674722034,0.8937044264147068,0.2857041826634841,0.8833676214590916,0.8790642328706533,0.918025930572982,0.8562512190364736,0.8622708757637475,3387,541,196,2195
3,convlstm,0.0001,0.20779376232527336,0.9145013864640033,0.26096714644121427,0.8854249090045894,0.881674428209129,0.9347553324968633,0.8606083943011167,0.8553971486761711,3360,568,156,2235
4,convlstm,0.0001,0.17081916729680588,0.9274930676799835,0.2467895488209571,0.8990346573824972,0.8956441270600562,0.9498117942283564,0.8768339768339768,0.8681262729124236,3410,518,120,2271
5,convlstm,0.0001,0.15714677155501447,0.9315497586525624,0.23253679918201176,0.9036239911378383,0.9003934466505863,0.9560853199498118,0.8824551244933411,0.8716904276985743,3424,504,105,2286
6,convlstm,0.0001,0.13620036905479344,0.9385847797062751,0.31073072100197696,0.8953948409558474,0.8928490830873487,0.9795064826432455,0.876333021515435,0.8441955193482689,3316,612,49,2342
7,convlstm,0.0001,0.11934962611283147,0.9460819554277499,0.23653421661287555,0.9115366355435987,0.9082839463119333,0.9556670849017148,0.8910118931565607,0.8846741344195519,3475,453,106,2285
8,convlstm,0.0001,0.10811258427059582,0.9531169764814624,0.24075437294486773,0.9145434404177877,0.9107969688756381,0.9376829778335425,0.892515923566879,0.9004582484725051,3537,391,149,2242
9,convlstm,0.0001,0.09728752046884143,0.957995275752285,0.26988922511645264,0.9139104288653268,0.9106054642153065,0.9535759096612296,0.8934169278996865,0.8897657841140529,3495,433,111,2280
10,convlstm,0.0001,0.0894057919929634,0.9632330286535894,0.2530391486317131,0.914859946194018,0.9112819616173531,0.9435382685069009,0.8934653465346535,0.8974032586558045,3525,403,135,2256
11,convlstm,0.0001,0.08154892416542177,0.9680599774057718,0.25149471138757107,0.9177084981800918,0.9132470059355366,0.9130071099958177,0.8935734752353663,0.9205702647657841,3616,312,208,2183
