task,phase,model_id,model_name,pipeline,feature_mode,kind,scenario,description,noise_2d_std,noise_3d_std,missing_joint_rate,frame_drop_rate,accuracy,macro_f1,accuracy_percent,macro_f1_percent,delta_accuracy_from_clean,delta_macro_f1_from_clean,delta_accuracy_percent_from_clean,delta_macro_f1_percent_from_clean,reference_clean_accuracy,reference_clean_macro_f1,reference_clean_accuracy_percent,reference_clean_macro_f1_percent,clean_accuracy_gap_vs_reference,clean_macro_f1_gap_vs_reference,clean_accuracy_gap_percent_vs_reference,clean_macro_f1_gap_percent_vs_reference,num_samples,num_unique_videos,dataset_num_test_samples,dataset_num_test_records,mean_gate,std_gate,min_gate,max_gate
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,combined_light,Light combined corruption.,0.02,0.02,0.1,0.1,0.9527520701412567,0.8995465873537911,95.27520701412567,89.95465873537911,-0.017048222113979494,-0.04409321553925305,-1.7048222113979494,-4.409321553925305,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,combined_heavy,Heavy combined corruption.,0.05,0.05,0.2,0.2,0.9137847053093034,0.7862455745824555,91.37847053093034,78.62455745824555,-0.05601558694593278,-0.1573942283105887,-5.601558694593278,-15.739422831058869,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,clean,No perturbation.,0.0,0.0,0.0,0.0,0.9678519240136386,0.9470150507868482,96.78519240136386,94.70150507868482,0.0,0.0,0.0,0.0,0.9679,0.947,96.78999999999999,94.69999999999999,-4.807598636136223e-05,1.505078684826966e-05,-0.004807598636136223,0.001505078684826966,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_2d_0.01,Small Gaussian noise on 2D coordinates.,0.01,0.0,0.0,0.0,0.9678519240136386,0.9470150507868482,96.78519240136386,94.70150507868482,0.0,0.0,0.0,0.0,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_2d_0.03,Medium Gaussian noise on 2D coordinates.,0.03,0.0,0.0,0.0,0.9678519240136386,0.9470150507868482,96.78519240136386,94.70150507868482,0.0,0.0,0.0,0.0,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_2d_0.05,Strong Gaussian noise on 2D coordinates.,0.05,0.0,0.0,0.0,0.9678519240136386,0.9470150507868482,96.78519240136386,94.70150507868482,0.0,0.0,0.0,0.0,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_3d_0.01,Small Gaussian noise on 3D coordinates.,0.0,0.01,0.0,0.0,0.9683390160740379,0.9478150496431049,96.83390160740379,94.78150496431049,0.00048709206039931896,0.0007999988562567006,0.048709206039931896,0.07999988562567006,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_3d_0.03,Medium Gaussian noise on 3D coordinates.,0.0,0.03,0.0,0.0,0.9693132001948368,0.9497357602596062,96.93132001948368,94.97357602596061,0.001461276181198179,0.0027207094727579317,0.1461276181198179,0.2720709472757932,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_3d_0.05,Strong Gaussian noise on 3D coordinates.,0.0,0.05,0.0,0.0,0.9702873843156357,0.9505810430640302,97.02873843156357,95.05810430640302,0.002435460301997039,0.0035659922771820174,0.2435460301997039,0.35659922771820174,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,missing_joint_0.10,Randomly remove 10 percent of joints.,0.0,0.0,0.1,0.0,0.9620068192888456,0.937621577825172,96.20068192888456,93.76215778251719,-0.005845104724793049,-0.009393472961676252,-0.5845104724793049,-0.9393472961676252,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,missing_joint_0.20,Randomly remove 20 percent of joints.,0.0,0.0,0.2,0.0,0.8080857282026302,0.7495190586026904,80.80857282026302,74.95190586026904,-0.15976619581100837,-0.1974959921841578,-15.976619581100838,-19.74959921841578,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,missing_joint_0.30,Randomly remove 30 percent of joints.,0.0,0.0,0.3,0.0,0.4111056989771067,0.3762596212654614,41.11056989771067,37.62596212654614,-0.5567462250365319,-0.5707554295213868,-55.67462250365319,-57.07554295213868,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,frame_drop_0.10,Drop 10 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.1,0.9678519240136386,0.9470150507868482,96.78519240136386,94.70150507868482,0.0,0.0,0.0,0.0,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,frame_drop_0.20,Drop 20 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.2,0.9678519240136386,0.9470150507868482,96.78519240136386,94.70150507868482,0.0,0.0,0.0,0.0,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,frame_drop_0.30,Drop 30 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.3,0.9678519240136386,0.9476297058220512,96.78519240136386,94.76297058220511,0.0,0.0006146550352029712,0.0,0.061465503520297116,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,combined_light,Light combined corruption.,0.02,0.02,0.1,0.1,0.9571358986848514,0.9323002785276422,95.71358986848514,93.23002785276422,-0.010716025328787238,-0.014714772259206033,-1.0716025328787238,-1.4714772259206033,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,combined_heavy,Heavy combined corruption.,0.05,0.05,0.2,0.2,0.8071115440818315,0.7445617837298444,80.71115440818315,74.45617837298444,-0.16074037993180712,-0.20245326705700384,-16.074037993180713,-20.245326705700386,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,clean,No perturbation.,0.0,0.0,0.0,0.0,0.9863614223088164,0.9750928340877273,98.63614223088165,97.50928340877273,0.0,0.0,0.0,0.0,0.9864,0.9751,98.64,97.50999999999999,-3.8577691183649954e-05,-7.165912272677488e-06,-0.0038577691183649954,-0.0007165912272677488,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_2d_0.01,Small Gaussian noise on 2D coordinates.,0.01,0.0,0.0,0.0,0.9863614223088164,0.9750928340877273,98.63614223088165,97.50928340877273,0.0,0.0,0.0,0.0,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_2d_0.03,Medium Gaussian noise on 2D coordinates.,0.03,0.0,0.0,0.0,0.9863614223088164,0.9750928340877273,98.63614223088165,97.50928340877273,0.0,0.0,0.0,0.0,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_2d_0.05,Strong Gaussian noise on 2D coordinates.,0.05,0.0,0.0,0.0,0.9863614223088164,0.9750928340877273,98.63614223088165,97.50928340877273,0.0,0.0,0.0,0.0,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_3d_0.01,Small Gaussian noise on 3D coordinates.,0.0,0.01,0.0,0.0,0.9863614223088164,0.9750928340877273,98.63614223088165,97.50928340877273,0.0,0.0,0.0,0.0,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_3d_0.03,Medium Gaussian noise on 3D coordinates.,0.0,0.03,0.0,0.0,0.9863614223088164,0.9750928340877273,98.63614223088165,97.50928340877273,0.0,0.0,0.0,0.0,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_3d_0.05,Strong Gaussian noise on 3D coordinates.,0.0,0.05,0.0,0.0,0.9863614223088164,0.9750928340877273,98.63614223088165,97.50928340877273,0.0,0.0,0.0,0.0,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,missing_joint_0.10,Randomly remove 10 percent of joints.,0.0,0.0,0.1,0.0,0.9746712128592304,0.9515055417863842,97.46712128592304,95.15055417863843,-0.011690209449585987,-0.023587292301343044,-1.1690209449585987,-2.3587292301343044,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,missing_joint_0.20,Randomly remove 20 percent of joints.,0.0,0.0,0.2,0.0,0.901607403799318,0.8212484090729726,90.16074037993181,82.12484090729725,-0.08475401850949837,-0.1538444250147547,-8.475401850949837,-15.38444250147547,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,missing_joint_0.30,Randomly remove 30 percent of joints.,0.0,0.0,0.3,0.0,0.7569410618606917,0.5335333610584864,75.69410618606916,53.35333610584863,-0.22942036044812475,-0.4415594730292409,-22.942036044812475,-44.15594730292409,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,frame_drop_0.10,Drop 10 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.1,0.985874330248417,0.974453584299454,98.5874330248417,97.4453584299454,-0.00048709206039943,-0.0006392497882733439,-0.048709206039943,-0.06392497882733439,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,frame_drop_0.20,Drop 20 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.2,0.9868485143692158,0.9757340074772947,98.68485143692158,97.57340074772947,0.00048709206039943,0.0006411733895673732,0.048709206039943,0.06411733895673732,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,frame_drop_0.30,Drop 30 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.3,0.9863614223088164,0.975094717639629,98.63614223088165,97.50947176396289,0.0,1.883551901671332e-06,0.0,0.0001883551901671332,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,combined_light,Light combined corruption.,0.02,0.02,0.1,0.1,0.9732099366780321,0.9473765576824376,97.32099366780321,94.73765576824376,-0.013151485630784276,-0.02771627640528973,-1.3151485630784276,-2.771627640528973,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,combined_heavy,Heavy combined corruption.,0.05,0.05,0.2,0.2,0.8972235752557234,0.8041266813846646,89.72235752557233,80.41266813846646,-0.08913784705309302,-0.1709661527030627,-8.913784705309302,-17.09661527030627,0.9864,0.9751,98.64,97.50999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,clean,No perturbation.,0.0,0.0,0.0,0.0,0.9780808572820263,0.9618351581164541,97.80808572820263,96.18351581164542,0.0,0.0,0.0,0.0,0.9781,0.9618,97.81,96.17999999999999,-1.9142717973652523e-05,3.515811645415923e-05,-0.0019142717973652523,0.0035158116454159227,2053,367,2053,812.0,0.4663185775279999,0.38508862257003784,1.5362909380201017e-06,0.9999980926513672
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,gaussian_2d_0.01,Small Gaussian noise on 2D coordinates.,0.01,0.0,0.0,0.0,0.9780808572820263,0.9618351581164541,97.80808572820263,96.18351581164542,0.0,0.0,0.0,0.0,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.46632033586502075,0.38509055972099304,1.5353798517026007e-06,0.9999979734420776
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,gaussian_2d_0.03,Medium Gaussian noise on 2D coordinates.,0.03,0.0,0.0,0.0,0.9780808572820263,0.9618351581164541,97.80808572820263,96.18351581164542,0.0,0.0,0.0,0.0,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.46630173921585083,0.3850683867931366,1.5584241737087723e-06,0.9999980926513672
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,gaussian_2d_0.05,Strong Gaussian noise on 2D coordinates.,0.05,0.0,0.0,0.0,0.9780808572820263,0.9618351581164541,97.80808572820263,96.18351581164542,0.0,0.0,0.0,0.0,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.4663110673427582,0.3850817382335663,1.5367832020274363e-06,0.9999980926513672
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,gaussian_3d_0.01,Small Gaussian noise on 3D coordinates.,0.0,0.01,0.0,0.0,0.9780808572820263,0.9618351581164541,97.80808572820263,96.18351581164542,0.0,0.0,0.0,0.0,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.46631672978401184,0.3850962817668915,1.5539483229076723e-06,0.9999979734420776
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,gaussian_3d_0.03,Medium Gaussian noise on 3D coordinates.,0.0,0.03,0.0,0.0,0.9775937652216269,0.960820005629207,97.75937652216268,96.0820005629207,-0.00048709206039943,-0.0010151524872471507,-0.048709206039943,-0.10151524872471507,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.4663192629814148,0.3850746154785156,1.5648265616619028e-06,0.9999980926513672
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,gaussian_3d_0.05,Strong Gaussian noise on 3D coordinates.,0.0,0.05,0.0,0.0,0.9780808572820263,0.9618351581164541,97.80808572820263,96.18351581164542,0.0,0.0,0.0,0.0,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.4663165211677551,0.3850540816783905,1.558740791551827e-06,0.9999980926513672
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,missing_joint_0.10,Randomly remove 10 percent of joints.,0.0,0.0,0.1,0.0,0.9712615684364345,0.9512229627203171,97.12615684364346,95.12229627203172,-0.006819288845591798,-0.010612195396137003,-0.6819288845591798,-1.0612195396137003,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.47063368558883667,0.38170313835144043,1.661915462136676e-06,0.9999978542327881
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,missing_joint_0.20,Randomly remove 20 percent of joints.,0.0,0.0,0.2,0.0,0.8986848514369216,0.8277420434129816,89.86848514369215,82.77420434129816,-0.07939600584510476,-0.13409311470347252,-7.939600584510476,-13.409311470347252,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.47358110547065735,0.37616321444511414,1.7167679970953031e-06,0.9999979734420776
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,missing_joint_0.30,Randomly remove 30 percent of joints.,0.0,0.0,0.3,0.0,0.7018996590355577,0.5180062272203442,70.18996590355577,51.80062272203442,-0.2761811982464686,-0.44382893089611,-27.618119824646858,-44.382893089610995,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.4695493280887604,0.3812394440174103,1.3525565236705006e-06,0.9999984502792358
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,frame_drop_0.10,Drop 10 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.1,0.9780808572820263,0.9618351581164541,97.80808572820263,96.18351581164542,0.0,0.0,0.0,0.0,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.4663110077381134,0.38508492708206177,1.5461210978173767e-06,0.9999979734420776
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,frame_drop_0.20,Drop 20 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.2,0.9775937652216269,0.960820005629207,97.75937652216268,96.0820005629207,-0.00048709206039943,-0.0010151524872471507,-0.048709206039943,-0.10151524872471507,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.46626919507980347,0.3850043714046478,1.5225571132759796e-06,0.9999980926513672
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,frame_drop_0.30,Drop 30 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.3,0.976619581100828,0.959530527606646,97.66195811008281,95.9530527606646,-0.00146127618119829,-0.0023046305098081143,-0.146127618119829,-0.23046305098081143,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.46625301241874695,0.3850928246974945,1.4312695384433027e-06,0.9999980926513672
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,combined_light,Light combined corruption.,0.02,0.02,0.1,0.1,0.9732099366780321,0.9542127464515472,97.32099366780321,95.42127464515472,-0.004870920603994189,-0.007622411664906958,-0.4870920603994189,-0.7622411664906958,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.4707871973514557,0.3817066550254822,1.5271438087438582e-06,0.9999974966049194
action,Phase 3,phase3_gated_fusion,Phase 3 - Gated Fusion,phase3,gated,gated,combined_heavy,Heavy combined corruption.,0.05,0.05,0.2,0.2,0.8986848514369216,0.8235516403564367,89.86848514369215,82.35516403564367,-0.07939600584510476,-0.13828351776001746,-7.939600584510476,-13.828351776001746,0.9781,0.9618,97.81,96.17999999999999,,,,,2053,367,2053,812.0,0.4734581708908081,0.3767949640750885,1.5493387763854116e-06,0.9999988079071045
action,Phase 4,phase4_quality_gated,Phase 4 - Quality-Gated,phase4,quality_gated,quality_gated,clean,No perturbation.,0.0,0.0,0.0,0.0,0.9790550414028252,0.9596192511173829,97.90550414028252,95.96192511173828,0.0,0.0,0.0,0.0,0.979055,0.959619,97.9055,95.9619,4.1402825168290747e-08,2.5111738288785546e-07,4.140282516829075e-06,2.5111738288785546e-05,2053,367,2053,,0.5074332356452942,0.0651983767747879,0.3051677644252777,0.7651516199111938
action,Phase 4,phase4_quality_gated,Phase 4 - Quality-Gated,phase4,quality_gated,quality_gated,gaussian_2d_0.01,Small Gaussian noise on 2D coordinates.,0.01,0.0,0.0,0.0,0.9795421334632245,0.9606266953329683,97.95421334632245,96.06266953329683,0.00048709206039931896,0.0010074442155854069,0.048709206039931896,0.10074442155854069,0.979055,0.959619,97.9055,95.9619,,,,,2053,367,2053,,0.5075681805610657,0.06542082130908966,0.30523738265037537,0.7652978897094727
action,Phase 4,phase4_quality_gated,Phase 4 - Quality-Gated,phase4,quality_gated,quality_gated,gaussian_2d_0.03,Medium Gaussian noise on 2D coordinates.,0.03,0.0,0.0,0.0,0.9790550414028252,0.9599424995521193,97.90550414028252,95.99424995521193,0.0,0.00032324843473641174,0.0,0.032324843473641174,0.979055,0.959619,97.9055,95.9619,,,,,2053,367,2053,,0.5079206228256226,0.06519029289484024,0.3086690902709961,0.7637370824813843
action,Phase 4,phase4_quality_gated,Phase 4 - Quality-Gated,phase4,quality_gated,quality_gated,gaussian_2d_0.05,Strong Gaussian noise on 2D coordinates.,0.05,0.0,0.0,0.0,0.9771066731612275,0.9551214339136929,97.71066731612275,95.51214339136929,-0.00194836824159772,-0.004497817203690024,-0.194836824159772,-0.44978172036900244,0.979055,0.959619,97.9055,95.9619,,,,,2053,367,2053,,0.5084058046340942,0.0640888437628746,0.31037649512290955,0.7623208165168762
action,Phase 4,phase4_quality_gated,Phase 4 - Quality-Gated,phase4,quality_gated,quality_gated,gaussian_3d_0.01,Small Gaussian noise on 3D coordinates.,0.0,0.01,0.0,0.0,0.9790550414028252,0.9596192511173829,97.90550414028252,95.96192511173828,0.0,0.0,0.0,0.0,0.979055,0.959619,97.9055,95.9619,,,,,2053,367,2053,,0.5074293613433838,0.06529363989830017,0.30466681718826294,0.7653440237045288
