model_name,display_name,epoch,train_loss,train_accuracy,train_macro_f1,train_fall_recall,train_fall_f1,val_loss,val_accuracy,val_macro_f1,val_fall_recall,val_fall_f1,val_not_fall_f1,lr
phase1_2d_common,Phase 1 2D Common,1,1.2768152925505567,0.6537313432835821,0.6441391941391941,0.5157232704402516,0.5857142857142857,0.9020838347765116,0.625,0.612051649928264,0.4791666666666667,0.5411764705882353,0.6829268292682927,0.0001
phase1_2d_common,Phase 1 2D Common,2,1.1065962047941649,0.6686567164179105,0.6622891861700678,0.559748427672956,0.615916955017301,0.9361853484924023,0.625,0.6090602409638555,0.4583333333333333,0.5301204819277109,0.688,0.0001
phase1_2d_common,Phase 1 2D Common,3,0.907946396229872,0.6716417910447762,0.6661411901137928,0.5723270440251572,0.6232876712328768,0.8838482544972346,0.6153846153846154,0.597367402245451,0.4375,0.5121951219512195,0.6825396825396826,0.0001
phase1_2d_common,Phase 1 2D Common,4,0.7777729037982314,0.7074626865671642,0.7025621511922882,0.610062893081761,0.6643835616438356,0.8298987310666305,0.6442307692307693,0.6291084337349397,0.4791666666666667,0.5542168674698795,0.704,0.0001
phase1_2d_common,Phase 1 2D Common,5,0.7301897369213959,0.7343283582089553,0.7321805524365597,0.6792452830188679,0.7081967213114754,0.7860676967180692,0.6634615384615384,0.65422247553909,0.5416666666666666,0.5977011494252874,0.7107438016528925,0.0001
phase1_2d_common,Phase 1 2D Common,6,0.727546022187418,0.6835820895522388,0.6820835123907749,0.6477987421383647,0.6602564102564102,0.7241943501509153,0.6730769230769231,0.6686656671664168,0.6041666666666666,0.6304347826086957,0.7068965517241379,0.0001
phase1_2d_common,Phase 1 2D Common,7,0.6104596205611728,0.7223880597014926,0.7204350284006784,0.6729559748427673,0.6970684039087948,0.6804509323376876,0.6730769230769231,0.6686656671664168,0.6041666666666666,0.6304347826086957,0.7068965517241379,0.0001
phase1_2d_common,Phase 1 2D Common,8,0.5573673755375307,0.7343283582089553,0.7335591281579252,0.7169811320754716,0.7192429022082019,0.6429944840761331,0.6538461538461539,0.6526901669758813,0.6458333333333334,0.6326530612244898,0.6727272727272727,0.0001
phase1_2d_common,Phase 1 2D Common,9,0.5471175569206921,0.7253731343283583,0.7251747752889142,0.7358490566037735,0.7177914110429447,0.618964277780973,0.6634615384615384,0.6631812713981678,0.6875,0.6534653465346535,0.6728971962616822,0.0001
phase1_2d_common,Phase 1 2D Common,10,0.5435725279708407,0.7283582089552239,0.72820320788866,0.7421383647798742,0.7217125382262997,0.6022299505197085,0.6538461538461539,0.6533333333333333,0.6666666666666666,0.64,0.6666666666666666,5e-05
phase1_2d_common,Phase 1 2D Common,11,0.5512682243959227,0.7223880597014926,0.722348474721279,0.7484276729559748,0.7190332326283988,0.5961578350800735,0.6634615384615384,0.6631812713981678,0.6875,0.6534653465346535,0.6728971962616822,5e-05
phase1_2d_common,Phase 1 2D Common,12,0.5427241681227043,0.7283582089552239,0.7283194752649074,0.7547169811320755,0.7250755287009063,0.5931849823548243,0.6730769230769231,0.6725925925925926,0.6875,0.66,0.6851851851851852,5e-05
phase1_2d_common,Phase 1 2D Common,13,0.4680400706938843,0.7701492537313432,0.7696237351409765,0.7610062893081762,0.7586206896551724,0.5894746344823104,0.6442307692307693,0.6439344869066346,0.6666666666666666,0.6336633663366337,0.6542056074766355,5e-05
phase1_2d_common,Phase 1 2D Common,14,0.4980995155092496,0.7611940298507462,0.7604233712365014,0.7421383647798742,0.7468354430379747,0.5830293343617365,0.6730769230769231,0.6725925925925926,0.6875,0.66,0.6851851851851852,5e-05
phase1_2d_common,Phase 1 2D Common,15,0.5122429340632993,0.7582089552238805,0.7581744779830495,0.7861635220125787,0.7552870090634441,0.5841049574888669,0.6634615384615384,0.6631812713981678,0.6875,0.6534653465346535,0.6728971962616822,5e-05
phase1_2d_common,Phase 1 2D Common,16,0.5364596794790296,0.7522388059701492,0.7522034774394211,0.779874213836478,0.7492447129909365,0.5737829391772931,0.6826923076923077,0.6819571865443426,0.6875,0.6666666666666666,0.6972477064220184,5e-05
phase1_2d_common,Phase 1 2D Common,17,0.48437354404534866,0.7701492537313432,0.7700754975978037,0.7924528301886793,0.7659574468085106,0.5574468741050134,0.6442307692307693,0.640205703599813,0.5833333333333334,0.6021505376344086,0.6782608695652174,5e-05
phase1_2d_common,Phase 1 2D Common,18,0.48009416505471986,0.7731343283582089,0.7725485991995427,0.7610062893081762,0.7610062893081762,0.5607373806146475,0.6730769230769231,0.6711309523809523,0.6458333333333334,0.6458333333333334,0.6964285714285714,5e-05
phase1_2d_common,Phase 1 2D Common,19,0.50563239410742,0.7761194029850746,0.7757277133599336,0.7735849056603774,0.7663551401869159,0.5597928785360776,0.6826923076923077,0.6819571865443426,0.6875,0.6666666666666666,0.6972477064220184,5e-05
phase1_2d_common,Phase 1 2D Common,20,0.48123974897968236,0.7761194029850746,0.7757277133599336,0.7735849056603774,0.7663551401869159,0.5673757287172171,0.6826923076923077,0.6819571865443426,0.6875,0.6666666666666666,0.6972477064220184,2.5e-05
phase1_2d_common,Phase 1 2D Common,21,0.5017902283526179,0.7731343283582089,0.772792175340901,0.7735849056603774,0.7639751552795031,0.5580232578974503,0.6826923076923077,0.6819571865443426,0.6875,0.6666666666666666,0.6972477064220184,2.5e-05
phase1_2d_common,Phase 1 2D Common,22,0.49505575930894313,0.764179104477612,0.7638761253022368,0.7672955974842768,0.7554179566563467,0.5529077763740833,0.6826923076923077,0.6819571865443426,0.6875,0.6666666666666666,0.6972477064220184,2.5e-05
phase1_2d_common,Phase 1 2D Common,23,0.48241476710162945,0.764179104477612,0.7638761253022368,0.7672955974842768,0.7554179566563467,0.5506928448493664,0.6826923076923077,0.6812482585678462,0.6666666666666666,0.6597938144329897,0.7027027027027027,2.5e-05
phase1_2d_common,Phase 1 2D Common,24,0.5000060901713016,0.755223880597015,0.754433955517414,0.7358490566037735,0.740506329113924,0.5514725217452416,0.6730769230769231,0.6719851576994433,0.6666666666666666,0.6530612244897959,0.6909090909090909,1.25e-05
phase1_2d_common,Phase 1 2D Common,25,0.47696521264403613,0.7731343283582089,0.7731161331717402,0.8050314465408805,0.7710843373493976,0.5509971540707809,0.6730769230769231,0.6719851576994433,0.6666666666666666,0.6530612244897959,0.6909090909090909,1.25e-05
phase1_2d_common,Phase 1 2D Common,26,0.46197381820251693,0.7731343283582089,0.7730352303523036,0.7924528301886793,0.7682926829268293,0.549418779519888,0.6730769230769231,0.6725925925925926,0.6875,0.66,0.6851851851851852,1.25e-05
phase2_3d_common,Phase 2 3D Common,1,1.7610788790147696,0.5791044776119403,0.5695146958304853,0.4528301886792453,0.5052631578947369,1.270400536748079,0.6346153846153846,0.6233320625238277,0.5,0.5581395348837209,0.6885245901639344,0.0001
