velocity_threshold,angle_threshold,ratio_threshold,min_event_frames,accuracy,sensitivity_fall_recall,specificity_not_fall_recall,macro_precision,macro_recall,macro_f1,fall_precision,fall_recall,fall_f1,not_fall_precision,not_fall_recall,not_fall_f1,tn,fp,fn,tp
19.0047,45.0,1.0,1,0.8309002433090025,0.7728285077951003,0.900804289544236,0.8353845605022832,0.8368163986696682,0.8308699558738415,0.9036458333333334,0.7728285077951003,0.8331332533013205,0.7671232876712328,0.900804289544236,0.8286066584463625,336,37,102,347
9.5023,45.0,1.0,1,0.8309002433090025,0.8040089086859689,0.8632707774798928,0.8307897229457732,0.8336398430829308,0.8305187321167136,0.8762135922330098,0.8040089086859689,0.8385598141695703,0.7853658536585366,0.8632707774798928,0.822477650063857,322,51,88,361
0.0,45.0,1.0,1,0.8236009732360098,0.8173719376391982,0.8310991957104558,0.8221523493118178,0.824235566674827,0.8227486671574205,0.8534883720930233,0.8173719376391982,0.8350398179749715,0.7908163265306123,0.8310991957104558,0.8104575163398693,310,63,82,367
28.507,45.0,1.0,1,0.8199513381995134,0.7371937639198218,0.9195710455764075,0.8304661070417796,0.8283824047481146,0.8199129585220712,0.9168975069252078,0.7371937639198218,0.817283950617284,0.7440347071583514,0.9195710455764075,0.8225419664268585,343,30,118,331
38.0093,45.0,1.0,1,0.7992700729927007,0.6926503340757239,0.9276139410187667,0.8174971881265587,0.8101321375472452,0.7989054931433934,0.9201183431952663,0.6926503340757239,0.7903430749682337,0.7148760330578512,0.9276139410187667,0.8074679113185531,346,27,138,311
47.5117,45.0,1.0,1,0.7895377128953771,0.6592427616926503,0.9463806970509383,0.8171686596287586,0.8028117293717942,0.7885208235740258,0.9367088607594937,0.6592427616926503,0.7738562091503268,0.6976284584980237,0.9463806970509383,0.8031854379977247,353,20,153,296
57.014,45.0,1.0,1,0.7652068126520681,0.6080178173719376,0.9544235924932976,0.8052761213378273,0.7812207049326176,0.7627882983574937,0.9413793103448276,0.6080178173719376,0.7388362652232747,0.6691729323308271,0.9544235924932976,0.7867403314917127,356,17,176,273
66.5163,45.0,1.0,1,0.7384428223844283,0.5478841870824054,0.967828418230563,0.7967796470394195,0.7578563026564842,0.7332212257664248,0.9534883720930233,0.5478841870824054,0.695898161244696,0.6400709219858156,0.967828418230563,0.7705442902881536,361,12,203,246
70.4981,45.0,1.0,1,0.7262773722627737,0.5256124721603563,0.967828418230563,0.7902663819264921,0.7467204451954597,0.7197977756533886,0.9516129032258065,0.5256124721603563,0.6771879483500718,0.6289198606271778,0.967828418230563,0.7624076029567054,361,12,213,236
76.0187,45.0,1.0,1,0.7128953771289538,0.5011135857461024,0.967828418230563,0.783230552850806,0.7344710019883327,0.7048150605306245,0.9493670886075949,0.5011135857461024,0.6559766763848397,0.6170940170940171,0.967828418230563,0.7536534446764092,361,12,224,225
85.521,45.0,1.0,1,0.6849148418491484,0.44766146993318484,0.9705093833780161,0.7707779152489946,0.7090854266556005,0.6723451473845079,0.9481132075471698,0.44766146993318484,0.6081694402420574,0.5934426229508196,0.9705093833780161,0.7365208545269583,362,11,248,201
91.0373,45.0,1.0,1,0.6678832116788321,0.41648106904231624,0.9705093833780161,0.7622863247863247,0.6934952262101661,0.6521155429193298,0.9444444444444444,0.41648106904231624,0.5780525502318392,0.5801282051282052,0.9705093833780161,0.7261785356068204,362,11,262,187
95.0233,45.0,1.0,1,0.6593673965936739,0.40089086859688194,0.9705093833780161,0.7580504642344488,0.685700125987449,0.6418077689243028,0.9424083769633508,0.40089086859688194,0.5625,0.5736925515055468,0.9705093833780161,0.7211155378486056,362,11,269,180
104.5257,45.0,1.0,1,0.635036496350365,0.35634743875278396,0.9705093833780161,0.7458700514727679,0.6634284110654001,0.6115801411290323,0.935672514619883,0.35634743875278396,0.5161290322580645,0.5560675883256528,0.9705093833780161,0.70703125,362,11,289,160
