model_type,epoch,train_loss,train_accuracy,train_macro_f1,train_fall_recall,train_fall_f1,val_loss,val_accuracy,val_macro_f1,val_fall_recall,val_fall_f1,val_tn,val_fp,val_fn,val_tp
gru,1,0.4234880954818388,0.8282079646017699,0.8155633098849773,0.8106396453451552,0.767271092462161,0.3619778187031374,0.8465092402464066,0.8389136492176643,0.9122023809523809,0.8039344262295082,1036,240,59,613
gru,2,0.33271849645977525,0.8501106194690266,0.8436399005413335,0.9255858138062064,0.8118316900430496,0.3882986688393587,0.8239219712525667,0.8190700479265454,0.9568452380952381,0.7894413750767342,962,314,29,643
gru,3,0.3092316108994779,0.8609513274336283,0.8547145414374975,0.9357188093730209,0.8246128087065718,0.3427961669036128,0.8531827515400411,0.8460250990519316,0.9241071428571429,0.81282722513089,1041,235,51,621
gru,4,0.27529159277941273,0.8728982300884955,0.8659864527225749,0.9243191893603546,0.8355517389437527,0.2954425192390257,0.8624229979466119,0.852636689530584,0.8764880952380952,0.8146611341632088,1091,185,83,589
gru,5,0.24301643324109307,0.893141592920354,0.886004242336488,0.9202026599113363,0.857480082620242,0.2661228807685128,0.898870636550308,0.8904863130721199,0.9017857142857143,0.8601845280340668,1145,131,66,606
gru,6,0.22372461486179218,0.9074115044247788,0.9004847542279952,0.9211526282457252,0.8742299023290759,0.22354955963400294,0.9055441478439425,0.8960753386528113,0.875,0.8647058823529412,1176,100,84,588
gru,7,0.20391931329417018,0.914933628318584,0.9082434818978347,0.9230525649145028,0.8834671919987876,0.23431797177593933,0.9111909650924025,0.9035285516315075,0.9122023809523809,0.8763402430307362,1162,114,59,613
gru,8,0.18666518735410892,0.926216814159292,0.9201330656390704,0.9306523115896137,0.8980901451489687,0.20630468090219725,0.9240246406570842,0.9153373771924467,0.875,0.8882175226586103,1212,64,84,588
gru,9,0.16946108720998848,0.9355088495575221,0.9298526298562275,0.9325522482583913,0.9099335702147382,0.21420009105487342,0.9106776180698152,0.9026308895109139,0.9032738095238095,0.8746397694524496,1167,109,65,607
gru,10,0.1578212878872863,0.9410398230088496,0.9358247610759899,0.9388853704876504,0.9175305585641343,0.18821380356349648,0.9245379876796714,0.9170015086366186,0.9032738095238095,0.8919911829537105,1194,82,65,607
gru,11,0.1437898465226182,0.9454646017699115,0.9405836571274181,0.9430018999366688,0.9235540393859513,0.17957238985026672,0.9271047227926078,0.9195205260248465,0.8988095238095238,0.8948148148148148,1202,74,68,604
gru,12,0.1324292323032839,0.9509955752212389,0.9465130987093584,0.9468017732742242,0.9310291141211272,0.2113853096044039,0.9214579055441479,0.9137308365281498,0.9017857142857143,0.8879120879120879,1189,87,66,606
gru,13,0.12600473470128742,0.9535398230088495,0.9491864886380785,0.9458518049398353,0.9343134188301533,0.18732828440553906,0.9265913757700205,0.9189819372683263,0.8988095238095238,0.8941524796447077,1201,75,68,604
gru,14,0.11856901326538187,0.9551991150442478,0.9511216174979804,0.9537682077264091,0.9370041997200187,0.19552874161997616,0.9312114989733059,0.9243157357580256,0.9122023809523809,0.9014705882352941,1201,75,59,613
gru,15,0.12327493464788504,0.9546460176991151,0.9504453394873954,0.9496516782773907,0.9360174781523096,0.19277732878888992,0.9245379876796714,0.9167734043193219,0.8973214285714286,0.8913525498891353,1198,78,69,603
gru,16,0.10840947097909134,0.9608407079646017,0.9572017232292509,0.9578847371754274,0.9447220487195502,0.19250574420843067,0.9332648870636551,0.9258501871606396,0.8943452380952381,0.9024024024024024,1217,59,71,601
gru,17,0.0970517336531023,0.9662610619469026,0.9631283776894055,0.9658011399620012,0.9523809523809523,0.24336340154083236,0.9194045174537988,0.9119444088546202,0.9107142857142857,0.8863142650253439,1179,97,60,612
gru,18,0.09658446654809259,0.9673672566371682,0.9642918310761521,0.9645345155161494,0.9538124315014874,0.20610030887751732,0.9337782340862423,0.9267604073918094,0.9047619047619048,0.9040892193308551,1211,65,64,608
gru,19,0.09888475711284353,0.9665929203539823,0.9633896804621573,0.9601013299556681,0.9525604775369149,0.20472985713453906,0.9271047227926078,0.9196873620885885,0.9032738095238095,0.8952802359882006,1199,77,65,607
gru,20,0.0853569185443684,0.9694690265486726,0.9665271427651491,0.9632678910702976,0.9566037735849057,0.24517058759489818,0.9271047227926078,0.9190638872601171,0.8869047619047619,0.8935532233883059,1210,66,76,596
gru,21,0.0842710572966597,0.9688053097345133,0.9658191057747756,0.9635845471817606,0.9557160804020101,0.24628105159316813,0.9286447638603696,0.9219376457153664,0.9211309523809523,0.8990559186637618,1190,86,53,619
gru,22,0.08003667125527837,0.9727876106194691,0.9701826241865064,0.9692843571880937,0.9613693467336684,0.23828047453005105,0.9240246406570842,0.9162938703458527,0.8988095238095238,0.8908554572271387,1196,80,68,604
