model_type,epoch,train_loss,train_accuracy,train_macro_f1,train_fall_recall,train_fall_f1,val_loss,val_accuracy,val_macro_f1,val_fall_recall,val_fall_f1,val_tn,val_fp,val_fn,val_tp
gru,23,0.07948306743220418,0.9719026548672567,0.969226168735741,0.9689677010766308,0.9601506118606841,0.2573623393492073,0.9327515400410678,0.9251986564437265,0.8913690476190477,0.9014296463506396,1218,58,73,599
gru,24,0.07745183100346971,0.9732300884955752,0.9706632538802717,0.9696010132995567,0.961985548224945,0.2368101274408926,0.9373716632443532,0.9308556632044456,0.9136904761904762,0.9096296296296297,1212,64,58,614
gru,25,0.06740860494545999,0.9761061946902655,0.9738000814614806,0.9724509183027232,0.9660270525322429,0.30748504674869154,0.9214579055441479,0.9139042832073141,0.90625,0.888402625820569,1186,90,63,609
gru,26,0.07519525372283122,0.9752212389380531,0.9728414290094998,0.9721342621912603,0.9648020113136392,0.22274817739629132,0.9291581108829569,0.9212301994268601,0.8869047619047619,0.8962406015037594,1214,62,76,596
gru,27,0.05846162480590618,0.9814159292035398,0.9795809216496925,0.9756174794173528,0.9734597156398104,0.25086916466453923,0.9306981519507187,0.9230813104080657,0.8928571428571429,0.898876404494382,1213,63,72,600
gru,28,0.061788601140631776,0.9795353982300885,0.9775261545020976,0.974034198860038,0.9708063752564305,0.2811460792129091,0.9194045174537988,0.9113553527615585,0.8958333333333334,0.884643644379133,1189,87,70,602
gru,29,0.05473468062195894,0.9790929203539823,0.9770734208881859,0.9765674477517416,0.9702689948088721,0.3140400805854448,0.9281314168377823,0.919972299006403,0.8824404761904762,0.8944193061840121,1215,61,79,593
gru,30,0.05764601554029283,0.9808628318584071,0.9789930637431539,0.9768841038632046,0.9727258395081192,0.2704865474641625,0.9276180698151951,0.919891013419454,0.8943452380952381,0.8950111690245719,1206,70,71,601
gru,31,0.05101454842060936,0.9837389380530973,0.9821241762001904,0.9778340721975934,0.9767515419895619,0.3044400962650034,0.9265913757700205,0.9193147880117446,0.9077380952380952,0.8950843727072634,1195,81,62,610
gru,32,0.05651687371124209,0.980641592920354,0.9787316762871325,0.9746675110829639,0.9723582372453009,0.2605727466628399,0.9306981519507187,0.9237768956866905,0.9122023809523809,0.9008082292432035,1200,76,59,613
gru,33,0.050691462338250955,0.9835176991150443,0.9818994433557435,0.9797340088663711,0.9764872968281522,0.30601072110602867,0.9301848049281314,0.9234449318330241,0.9181547619047619,0.9007299270072993,1195,81,55,617
gru,34,0.044872538784139715,0.9847345132743363,0.9832296289031119,0.98068397720076,0.97820593809223,0.3308601666861491,0.9219712525667351,0.9142657271383765,0.9017857142857143,0.8885630498533724,1190,86,66,606
